"filename","subject","date","time","avg_rxn_time_free","avg_choice_rxn_time_free"
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 47243.txt","47243",2019-08-28,"12:36",493.866666666667,311.3
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 47249.txt","47249",2019-08-28,"12:36",1137.07407407407,225.166666666667
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 47639.txt","47639",2019-08-28,"12:36",235.016666666667,144.583333333333
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 47758.txt","47758",2019-08-28,"12:36",803.133333333333,150.133333333333
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 47759.txt","47759",2019-08-28,"12:36",464.983333333333,218.883333333333
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 47776.txt","47776",2019-08-28,"12:36",191.6,211.983333333333
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 47799.txt","47799",2019-08-28,"12:36",945.803571428571,547.892857142857
"./Ship3_Latin-square/2019-08-28_12h40m_Subject 46881.txt","46881",2019-08-28,"12:40",946.821428571429,552.803571428571
"./Ship3_Latin-square/2019-08-28_12h40m_Subject 47087.txt","47087",2019-08-28,"12:40",1677.70833333333,460.083333333333
"./Ship3_Latin-square/2019-08-28_12h40m_Subject 47626.txt","47626",2019-08-28,"12:40",814.266666666667,340.466666666667
"./Ship3_Latin-square/2019-08-28_12h40m_Subject 47634.txt","47634",2019-08-28,"12:40",675.016666666667,264.8
"./Ship3_Latin-square/2019-08-28_12h40m_Subject 47640.txt","47640",2019-08-28,"12:40",894.85,206.533333333333
"./Ship3_Latin-square/2019-08-28_12h40m_Subject 47754.txt","47754",2019-08-28,"12:40",2733.1,315.1
"./Ship3_Latin-square/2019-08-28_12h40m_Subject 47800.txt","47800",2019-08-28,"12:40",650.066666666667,216.616666666667
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 46876.txt","46876",2019-08-28,"13:47",812.017543859649,237.263157894737
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 46893.txt","46893",2019-08-28,"13:47",172.533333333333,201.65
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47638.txt","47638",2019-08-28,"13:47",1186.7962962963,255.87037037037
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47757.txt","47757",2019-08-28,"13:47",1777.68,283.34
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47769.txt","47769",2019-08-28,"13:47",318.5,132.85
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47771.txt","47771",2019-08-28,"13:47",313.516666666667,142.483333333333
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47775.txt","47775",2019-08-28,"13:47",567.483333333333,199.833333333333
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47781.txt","47781",2019-08-28,"13:47",400.85,365.183333333333
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47782.txt","47782",2019-08-28,"13:47",258.55,118.4
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47783.txt","47783",2019-08-28,"13:47",1145.73333333333,216.566666666667
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47785.txt","47785",2019-08-28,"13:47",414.9,275.95
"./Ship3_Latin-square/2019-08-28_13h47m_Subject 47788.txt","47788",2019-08-28,"13:47",817.866666666667,278.7
"./Ship3_Latin-square/2019-08-28_13h50m_Subject 46888.txt","46888",2019-08-28,"13:50",169.766666666667,269.666666666667
"./Ship3_Latin-square/2019-08-28_13h50m_Subject 46889.txt","46889",2019-08-28,"13:50",467.733333333333,204.7
"./Ship3_Latin-square/2019-08-28_13h50m_Subject 46892.txt","46892",2019-08-28,"13:50",414.5,245.55
"./Ship3_Latin-square/2019-08-28_13h50m_Subject 47097.txt","47097",2019-08-28,"13:50",291.6,331.7
"./Ship3_Latin-square/2019-08-28_13h50m_Subject 47099.txt","47099",2019-08-28,"13:50",1022.51785714286,495
"./Ship3_Latin-square/2019-08-28_15h01m_Subject 47080.txt","47080",2019-08-28,"15:01",543.916666666667,234.133333333333
"./Ship3_Latin-square/2019-08-28_15h01m_Subject 47089.txt","47089",2019-08-28,"15:01",1954.04347826087,279.739130434783
"./Ship3_Latin-square/2019-08-28_15h01m_Subject 47791.txt","47791",2019-08-28,"15:01",428.7,221.4
"./Ship3_Latin-square/2019-08-29_10h12m_Subject 46885.txt","46885",2019-08-29,"10:12",711.483333333333,164.183333333333
"./Ship3_Latin-square/2019-08-29_10h12m_Subject 46899.txt","46899",2019-08-29,"10:12",1779.26,201.32
"./Ship3_Latin-square/2019-08-29_10h12m_Subject 47091.txt","47091",2019-08-29,"10:12",1948.61111111111,212.574074074074
"./Ship3_Latin-square/2019-08-29_10h12m_Subject 47231.txt","47231",2019-08-29,"10:12",1526.3137254902,259.529411764706
"./Ship3_Latin-square/2019-08-29_10h12m_Subject 47238.txt","47238",2019-08-29,"10:12",543.216666666667,263.8
"./Ship3_Latin-square/2019-08-29_10h12m_Subject 47242.txt","47242",2019-08-29,"10:12",279.1,211
"./Ship3_Latin-square/2019-08-29_10h12m_Subject 47244.txt","47244",2019-08-29,"10:12",553.733333333333,284.516666666667
"./Ship3_Latin-square/2019-08-29_10h12m_Subject 47752.txt","47752",2019-08-29,"10:12",678.733333333333,213.5
"./Ship3_Latin-square/2019-08-29_10h12m_Subject 47767.txt","47767",2019-08-29,"10:12",417.966666666667,202.883333333333
"./Ship3_Latin-square/2019-08-29_10h15m_Subject 46884.txt","46884",2019-08-29,"10:15",674.933333333333,383.366666666667
